,County/Parish,"Notice
Date","Received
Date","Effective 
Date",Company,"Layoff/
Closure","No. Of
Employees",Address
147,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-09-30 00:00:00,USRA at ARC,Layoff Permanent,1,Moffett Field  Mountain View CA 94043
148,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2022-10-14 00:00:00,USRA at ARC,Layoff Permanent,2,Moffett Field  Mountain View CA 94043
149,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-09-29 00:00:00,USRA at ARC,Layoff Permanent,2,Moffett Field  Mountain View CA 94043
150,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-04-28 00:00:00,USRA at ARC,Layoff Permanent,5,Moffett Field  Mountain View CA 94043
151,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-06-30 00:00:00,USRA at ARC,Layoff Permanent,2,Moffett Field  Mountain View CA 94043
152,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-09-23 00:00:00,USRA at ARC,Layoff Permanent,1,Moffett Field  Mountain View CA 94043
153,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-01-31 00:00:00,USRA at ARC,Layoff Permanent,4,Moffett Field  Mountain View CA 94043
154,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2022-09-30 00:00:00,USRA at ARC,Layoff Permanent,4,Moffett Field  Mountain View CA 94043
155,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-05-31 00:00:00,USRA at ARC,Layoff Permanent,3,Moffett Field  Mountain View CA 94043
156,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-06-16 00:00:00,USRA at ARC,Layoff Permanent,8,Moffett Field  Mountain View CA 94043
157,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2024-09-30 00:00:00,USRA at ARC,Layoff Permanent,1,Moffett Field  Mountain View CA 94043
158,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-10-28 00:00:00,USRA at ARC,Layoff Permanent,2,Moffett Field  Mountain View CA 94043
159,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-04-30 00:00:00,USRA at ARC,Layoff Permanent,1,Moffett Field  Mountain View CA 94043
160,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-06-15 00:00:00,USRA at ARC,Layoff Permanent,3,Moffett Field  Mountain View CA 94043
161,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2023-02-28 00:00:00,USRA at ARC,Layoff Permanent,1,Moffett Field  Mountain View CA 94043
162,Santa Clara County,2022-09-09 00:00:00,2022-09-13 00:00:00,2024-09-20 00:00:00,USRA at ARC,Layoff Permanent,1,Moffett Field  Mountain View CA 94043
163,San Diego County,2022-09-07 00:00:00,2022-09-13 00:00:00,2022-11-17 00:00:00,Bristol-Myers Squibb,Closure Permanent,92,10628 Science Center Drive Suite 200 San Diego CA 92121
164,San Diego County,2022-09-07 00:00:00,2022-09-13 00:00:00,2022-11-17 00:00:00,Bristol-Myers Squibb,Closure Permanent,169,3580 Carmel Mountain Road  San Diego CA 92121
165,Orange County,2022-09-13 00:00:00,2022-09-14 00:00:00,2022-11-23 00:00:00,AbbVie Inc.,Layoff Permanent,99,2525 Dupont Drive  Irvine CA 92612
166,San Diego County,2022-09-13 00:00:00,2022-09-14 00:00:00,2022-12-16 00:00:00,Mouser Electronics,Closure Permanent,10,1810 Gillespie Way  El Cajon CA 92020
167,San Francisco County,2022-09-13 00:00:00,2022-09-14 00:00:00,2022-11-11 00:00:00,"Marriott Resorts Hospitality Corporation and Marriott Ownership Resorts, Inc.",Layoff Temporary,69,2620 Jones Street  San Francisco CA 94133
168,Kern County,2022-09-06 00:00:00,2022-09-15 00:00:00,2022-11-05 00:00:00,Bakersfield Heart Hospital,Layoff Permanent,115,3001 Sillect Avenue  Bakersfield CA 93308
169,Los Angeles County,2022-09-02 00:00:00,2022-09-15 00:00:00,2022-11-02 00:00:00,"Curative, Inc.",Closure Permanent,109,430 S. Cataract Avenue  San Dimas CA 91773
170,Los Angeles County,2022-09-14 00:00:00,2022-09-15 00:00:00,2022-11-18 00:00:00,"Brentwood Originals, Inc.",Closure Permanent,113,20639 South Fordyce Avenue  Long Beach CA 90810
171,Glenn County,2022-09-14 00:00:00,2022-09-15 00:00:00,2022-11-07 00:00:00,Musco Family Olive Co.,Layoff Temporary,13,608 5th Avenue  Orland CA 95963
172,San Mateo County,2022-09-14 00:00:00,2022-09-15 00:00:00,2022-09-14 00:00:00,"Genapsys, Inc.",Closure Permanent,1,200 Cardinal Way 3rd Floor  Redwood City CA 94063
173,San Diego County,2022-09-07 00:00:00,2022-09-15 00:00:00,2022-11-30 00:00:00,Hobie Cat Co.,Layoff Permanent,137,4925 Oceanside Blvd.  Oceanside CA 92056
174,San Diego County,2022-09-08 00:00:00,2022-09-15 00:00:00,2022-11-08 00:00:00,Transamerican Auto Parts (TAP) Manufacturing LLC and TAP Worldwide LLC,Closure Permanent,73,2360 Boswell Road  Chula Vista CA 91914
175,San Francisco County,2022-09-14 00:00:00,2022-09-15 00:00:00,2022-11-15 00:00:00,Twilio,Layoff Permanent,108,101 Spear St. Suite 500  San Francisco CA 94105
176,Contra Costa County,2022-09-08 00:00:00,2022-09-16 00:00:00,2022-11-08 00:00:00,"Direct Delivery Service, Inc.",Closure Permanent,49,2995 Atlas Rd  Richmond CA 94806
177,Sacramento County,2022-09-08 00:00:00,2022-09-16 00:00:00,2022-11-08 00:00:00,"Direct Delivery Service, Inc.",Closure Permanent,49,2400 McClellan Park Dr  Sacramento CA 95838
178,San Joaquin County,2022-09-08 00:00:00,2022-09-16 00:00:00,2022-11-08 00:00:00,"Direct Delivery Service, Inc.",Closure Permanent,41,2403 W Louise Ave  Manteca CA 95337
179,Santa Clara County,2022-09-16 00:00:00,2022-09-16 00:00:00,2022-11-15 00:00:00,"G&C Staffing, LLC",Layoff Permanent,66,1695 South 7th St  San Jose CA 95112
180,San Francisco County,2022-09-19 00:00:00,2022-09-19 00:00:00,2022-11-18 00:00:00,"Granular, Inc. wholly owned subsidiary of Corteva, Inc.",Closure Permanent,57,"100 California, #1100  San Francisco CA 94111"
181,Santa Clara County,2022-09-19 00:00:00,2022-09-20 00:00:00,2022-11-17 00:00:00,Onsemi,Closure Permanent,88,1704 Automation Pkwy  San Jose CA 95131
182,Los Angeles County,2022-09-20 00:00:00,2022-09-20 00:00:00,2022-11-21 00:00:00,Nordstrom,Closure Permanent,79,20333 S. Normandie Avenue Local Omni-Hub Torrance CA 90502
183,San Mateo County,2022-09-19 00:00:00,2022-09-21 00:00:00,2022-11-18 00:00:00,"Tremor International, LTD",Layoff Permanent,49,"1000 Redwood Shores Parkway, Third Floor  Redwood City CA 94065"
184,San Francisco County,2022-09-20 00:00:00,2022-09-21 00:00:00,2022-11-07 00:00:00,"Gap, Inc.",Layoff Permanent,104,2 Folsom St.  San Francisco CA 94105
185,San Francisco County,2022-09-20 00:00:00,2022-09-21 00:00:00,2022-11-07 00:00:00,"Gap, Inc.",Layoff Permanent,7,1 Harrison St.  San Francisco CA 94105
186,Fresno County,2022-09-22 00:00:00,2022-09-22 00:00:00,2022-11-23 00:00:00,Schneider Electric,Closure Permanent,15,"200 W. Pontiac Way, Bldg 5  Clovis CA 93612"
187,Santa Clara County,2022-09-21 00:00:00,2022-09-22 00:00:00,2022-11-02 00:00:00,Kitty Hawk Corporation Location 1,Closure Permanent,18,821 San Antonio Road  Palo Alto CA 94303
188,Santa Clara County,2022-09-21 00:00:00,2022-09-22 00:00:00,2022-11-02 00:00:00,Kitty Hawk Corporation Location 2,Closure Permanent,69,4062 Fabian Way  Palo Alto CA 94303
189,Santa Clara County,2022-09-21 00:00:00,2022-09-22 00:00:00,2022-11-02 00:00:00,Kitty Hawk Corporation Location 3,Closure Permanent,11,2639 A/B Terminal Blvd.  Mountain View CA 94043
190,Santa Clara County,2022-09-21 00:00:00,2022-09-22 00:00:00,2022-11-02 00:00:00,Kitty Hawk Corporation Location 4,Closure Permanent,2,1201 San Antonio Blvd.  Mountain View CA 94043
191,Sacramento County,2022-09-23 00:00:00,2022-09-23 00:00:00,2022-11-23 00:00:00,Summit Funding Inc.,Layoff Permanent,72,3900 Lennane Drive Suite 210  Sacramento CA 95834
192,Alameda County,2022-09-26 00:00:00,2022-09-26 00:00:00,2022-11-26 00:00:00,"WeDriveU, Inc.",Layoff Permanent,51,8130 Enterprise Drive  Newark CA 94560
193,Orange County,2022-09-26 00:00:00,2022-09-26 00:00:00,2022-11-27 00:00:00,"Nutrition Corp, Inc. dba Fresh &lsquo;N Lean",Layoff Permanent,353,333 N. Euclid Way  Anaheim CA 92801
194,San Mateo County,2022-09-26 00:00:00,2022-09-26 00:00:00,2022-11-26 00:00:00,"WeDriveU, Inc.",Layoff Permanent,46,990 Hamilton Court  Menlo Park CA 94025
195,Kern County,2022-09-21 00:00:00,2022-09-27 00:00:00,2022-11-23 00:00:00,"Dreyer's Grand Ice Cream, Inc.",Layoff Temporary,905,7301 District Blvd.  Bakersfield CA 93313
196,San Francisco County,2022-09-26 00:00:00,2022-09-27 00:00:00,2022-11-25 00:00:00,Hallcon Corporation,Layoff Permanent,63,1200 Mississippi Road  San Francisco CA 94107
197,Tulare County,2022-09-20 00:00:00,2022-09-27 00:00:00,2022-11-22 00:00:00,"Dreyer's Grand Ice Cream, Inc.",Layoff Temporary,308,970 E. Continental Ave.  Tulare CA 93274
198,Los Angeles County,2022-09-14 00:00:00,2022-09-28 00:00:00,2022-11-14 00:00:00,"NBCUniversal Media, LLC and NBC West, LLC",Layoff Permanent,10,"100 Universal City Plaza, Bldgs. 1440 and 1460  Universal City CA 91608"
199,Riverside County,2022-09-28 00:00:00,2022-09-28 00:00:00,2022-11-28 00:00:00,"Lucas Oil Products, Inc. with subsidiaries of Mav'rick Entertainment Network, Inc.",Closure Permanent,93,302 N. Sheridan St.  Corona CA 92878
200,San Diego County,2022-09-16 00:00:00,2022-09-28 00:00:00,2022-10-15 00:00:00,Amentum,Layoff Permanent,70,Bldg. 873 Rogers Rd. NAS North Island  San Diego CA 92135
201,Los Angeles County,2022-09-29 00:00:00,2022-09-29 00:00:00,2022-12-02 00:00:00,Albertson's Santa Fe Springs Pharmacy,Closure Permanent,21,12874 Florence Avenue  Santa Fe Springs CA 90670
202,Los Angeles County,2022-09-30 00:00:00,2022-09-30 00:00:00,2022-12-01 00:00:00,Airgas,Closure Permanent,28,2355 Workman Mill Road  Whittier CA 90601
203,San Mateo County,2022-08-04 00:00:00,2022-09-30 00:00:00,2022-10-03 00:00:00,"Oracle America, Inc.",Layoff Permanent,201,500 Oracle Parkway  Redwood City CA 94065
204,San Francisco County,2022-09-29 00:00:00,2022-10-03 00:00:00,2022-11-29 00:00:00,Skinny Labs Inc. dba SPIN,Layoff Permanent,49,"2 Embarcadero Center 7th Floor, Suite 104  San Francisco CA 94111"
205,Yolo County,2022-09-30 00:00:00,2022-10-03 00:00:00,2022-12-11 00:00:00,"Alforex Seeds, LLC wholly owned subsidiary of Corteva, Inc.",Layoff Permanent,7,18369 Country Road 96  Woodland CA 95695
206,San Diego County,2022-10-03 00:00:00,2022-10-04 00:00:00,2022-12-02 00:00:00,"Buca Restaurants 2, Inc. dba Buca di Beppo Italian Restaurant",Closure Permanent,44,705 Sixth Avenue  San Diego CA 92101
207,Los Angeles County,2022-10-07 00:00:00,2022-10-10 00:00:00,2022-12-06 00:00:00,The Honest Kitchen,Closure Permanent,6,2501 W Rosecrans Ave  Los Angeles CA 90059
208,Marin County,2022-10-06 00:00:00,2022-10-10 00:00:00,2022-12-06 00:00:00,BioMarin Pharmaceutical Inc.,Layoff Permanent,62,770 Lindaro St  San Rafael CA 94901
209,Marin County,2022-10-06 00:00:00,2022-10-10 00:00:00,2022-12-06 00:00:00,BioMarin Pharmaceutical Inc.,Layoff Permanent,32,105 Digital Dr  Novato CA 94949
210,Contra Costa County,2022-10-10 00:00:00,2022-10-11 00:00:00,2022-12-11 00:00:00,"Grocery Delivery E-Services USA, Inc. dba HelloFresh",Closure Permanent,611,2041 Factory Street  Richmond CA 94801
211,San Bernardino County,2022-10-06 00:00:00,2022-10-11 00:00:00,2023-01-08 00:00:00,King's Fish House,Closure Temporary,94,12427 North Main Street  Rancho Cucamonga CA 91739
212,Placer County,2022-10-11 00:00:00,2022-10-12 00:00:00,2022-12-16 00:00:00,Clear Capital,Layoff Permanent,108,"1410 Rocky Ridge Drive, Suite 250  Roseville CA 95661"
213,San Bernardino County,2022-10-11 00:00:00,2022-10-12 00:00:00,2022-12-30 00:00:00,"Keeco, LLC",Closure Permanent,168,1420 N. Tamarind Avenue  Rialto CA 92376
214,Orange County,2022-10-14 00:00:00,2022-10-17 00:00:00,2022-12-31 00:00:00,"Colonial Savings, F.A.",Closure Permanent,27,19062 Carp Circle  Huntington Beach CA 92646
215,Orange County,2022-10-14 00:00:00,2022-10-17 00:00:00,2022-12-31 00:00:00,"Colonial Savings, F.A.",Closure Permanent,27,13002 N Yorba  Santa Ana CA 92705
216,Alameda County,2022-10-18 00:00:00,2022-10-18 00:00:00,2022-11-18 00:00:00,"Astreya Partners, LLC at Meta Platforms Inc. facility",Layoff Permanent,144,7300 Gateway Blvd.  Newark CA 94560
217,Sacramento County,2022-10-10 00:00:00,2022-10-18 00:00:00,2022-12-09 00:00:00,"Acuity Brands Lighting, Inc. dba Sunoptics",Closure Permanent,98,6201 27th Street  Sacramento CA 95822
218,San Francisco County,2022-10-17 00:00:00,2022-10-18 00:00:00,2022-12-16 00:00:00,Egomotion Corp. dba Zeus Living,Layoff Permanent,31,888 Marin Street Suite B  San Francisco CA 94124
219,Los Angeles County,2022-10-17 00:00:00,2022-10-18 00:00:00,2022-12-16 00:00:00,CS DPS Holdings G4 Facility,Closure Permanent,103,1840 Victory Blvd.  Glendale CA 91201
220,Los Angeles County,2022-10-20 00:00:00,2022-10-20 00:00:00,2022-10-21 00:00:00,"Starry, Inc.",Layoff Permanent,56,5751 Buckingham Pkwy  Culver City CA 90230
221,Orange County,2022-10-20 00:00:00,2022-10-20 00:00:00,2022-12-23 00:00:00,Jabil Inc.,Closure Temporary,73,4 Goodyear  Irvine CA 92618
222,Santa Clara County,2022-10-20 00:00:00,2022-10-20 00:00:00,2022-12-26 00:00:00,Jabil Inc.,Closure Temporary,484,30 Great Oaks Blvd.  San Jose CA 95119
223,Alameda County,2022-10-18 00:00:00,2022-10-21 00:00:00,2022-12-19 00:00:00,Zymergen Inc.,Layoff Permanent,110,"5980 Horton Street, Suite 105  Emeryville CA 94608"
224,San Diego County,2022-10-20 00:00:00,2022-10-21 00:00:00,2022-12-20 00:00:00,Ademco Inc.,Layoff Temporary,127,2055 Dublin Dr.  San Diego CA 92154
225,Alameda County,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-12-23 00:00:00,"Jabil, Inc.",Closure Temporary,549,4050 Technology Place  Fremont CA 94538
226,Alameda County,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-12-23 00:00:00,"Jabil, Inc.",Closure Temporary,123,122 Lindbergh Avenue  Livermore CA 94551
227,Alameda County,2022-10-25 00:00:00,2022-10-25 00:00:00,2022-10-28 00:00:00,FormFactor,Layoff Permanent,52,7005 Southfront Road  Livermore CA 94551
228,Los Angeles County,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-12-29 00:00:00,Zekelman Industries dba Western  Tube,Closure Permanent,170,2001 East Dominguez Street  Long Beach CA 90810
229,Orange County,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-12-31 00:00:00,"Avanir Pharmaceuticals, Inc.",Layoff Permanent,109,30 Enterprise Suite 200  Aliso Viejo CA 92656
230,San Diego County,2022-10-23 00:00:00,2022-10-25 00:00:00,2022-12-23 00:00:00,UTC Restaurant Ventures LLC dba Great Maple,Closure Permanent,61,8675 Genesee Avenue Suite 1200  San Diego CA 92122
231,San Joaquin County,2022-10-21 00:00:00,2022-10-25 00:00:00,2022-12-25 00:00:00,Jabil Inc.,Closure Temporary,83,550 Carnegie Street  Manteca CA 95337
232,Solano County,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-12-18 00:00:00,Jabil Inc.,Closure Temporary,51,524 Stone Road  Benicia CA 94510
233,Los Angeles County,2022-10-25 00:00:00,2022-10-26 00:00:00,2022-12-30 00:00:00,Pennymac,Layoff Permanent,20,251 S. Lake Avenue  Pasadena CA 91101
234,Placer County,2022-10-25 00:00:00,2022-10-26 00:00:00,2022-12-30 00:00:00,Pennymac,Layoff Permanent,1,3013 Douglas Blvd  Roseville CA 95661
235,San Diego County,2022-09-30 00:00:00,2022-10-26 00:00:00,2022-10-14 00:00:00,"CareFusion Resources, LLC, a subsidiary of Becton, Dickinson and Company",Layoff Permanent,26,10020 Pacific Mesa Boulevard  San Diego CA 92121
236,San Diego County,2022-09-30 00:00:00,2022-10-26 00:00:00,2022-10-14 00:00:00,"CareFusion Resources, LLC, a subsidiary of Becton, Dickinson and Company",Layoff Permanent,58,3750 Torrey View Court  San Diego CA 92130
237,Alameda County,2022-10-25 00:00:00,2022-10-27 00:00:00,2022-10-25 00:00:00,"Roth Staffing Companies, L.P. dba Ultimate Staffing Services at FormFactor, Inc.",Layoff Permanent,164,7005 Southfront Road  Livermore CA 94551
238,Los Angeles County,2022-10-05 00:00:00,2022-10-27 00:00:00,2022-12-31 00:00:00,TAP Manufacturing LLC and TAP Worldwide LLC dba 4 Wheel Parts,Layoff Permanent,293,400 West Artesia Blvd.  Compton CA 90220
239,Ventura County,2022-10-25 00:00:00,2022-10-27 00:00:00,2022-12-30 00:00:00,Pennymac,Layoff Permanent,12,3143 Townsgate Road  Westlake Village CA 91361
240,Ventura County,2022-10-25 00:00:00,2022-10-27 00:00:00,2022-12-30 00:00:00,Pennymac,Layoff Permanent,27,112 Lakeview Canyon Road  Thousand Oaks CA 91362
241,Ventura County,2022-10-25 00:00:00,2022-10-27 00:00:00,2022-12-30 00:00:00,Pennymac,Layoff Permanent,10,6101 Condor Drive  Moorpark CA 93021
242,Napa County,2022-10-25 00:00:00,2022-10-27 00:00:00,2023-01-02 00:00:00,Terre du Soleil dba Auberge du Soleil,Closure Temporary,206,180 Rutherford Hill Road  Rutherford CA 94573
243,Alameda County,2022-09-30 00:00:00,2022-10-28 00:00:00,2022-11-30 00:00:00,"Demetrix, Inc.",Layoff Permanent,4,7th 2929 Street  Berkeley CA 94710
244,Los Angeles County,2022-10-28 00:00:00,2022-10-28 00:00:00,2022-12-31 00:00:00,Selman Breitman LLP,Closure Permanent,81,11766 Wilshire Boulevard  Los Angeles CA 90025
245,Riverside County,2022-10-27 00:00:00,2022-10-28 00:00:00,2022-12-31 00:00:00,Scotts Temecula Operations LLC,Layoff Permanent,15,42375 Remington Ave  Temecula CA 92590
246,San Luis Obispo County,2022-10-26 00:00:00,2022-10-28 00:00:00,2022-11-01 00:00:00,"Mindbody, Inc.",Layoff Permanent,94,651 Tank Farm Road  San Luis Obispo CA 93401
247,Alameda County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Closure Permanent,632,7000 Gateway Blvd  Newark CA 94560
248,Alameda County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Closure Permanent,36,6601 Overlake Place  Newark CA 94560
249,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,250,904 Caribbean Drive  Sunnyvale CA 94089
250,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,630-632 Caribbean Drive  Sunnyvale CA 94089
251,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,1339 Moffett Park Drive  Sunnyvale CA 94089
252,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,1325-1327 Chesapeake Terrace  Sunnyvale CA 94089
253,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,1315 Chesapeake Terrace  Sunnyvale CA 94089
254,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,914-918 Caribbean Drive  Sunnyvale CA 94089
255,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,1324 Chesapeake Terrace  Sunnyvale CA 94089
256,Santa Clara County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,2550 Great America Way  Santa Clara CA 95054
257,San Joaquin County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,20,225 North Guild Avenue  Lodi CA 95240
258,San Joaquin County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,121 North Guild Avenue  Lodi CA 95240
259,San Joaquin County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,850 Thurman Street  Lodi CA 95240
260,San Joaquin County,2022-08-16 00:00:00,2022-10-31 00:00:00,2022-10-18 00:00:00,Cepheid,Layoff Permanent,1,1330 East Thurman Road  Lodi CA 95240
261,Alameda County,2022-10-28 00:00:00,2022-11-01 00:00:00,2022-12-30 00:00:00,"Lucira Health, Inc.",Layoff Permanent,41,412 62nd Street  Emeryville CA 94608
262,Alameda County,2022-10-28 00:00:00,2022-11-01 00:00:00,2022-12-30 00:00:00,"Lucira Health, Inc.",Layoff Permanent,4,"626 Bancroft Way, Suite A  Berkeley CA 94710"
263,Orange County,2022-10-28 00:00:00,2022-11-01 00:00:00,2022-10-28 00:00:00,American Advisors Group,Layoff Permanent,204,"18200 Von Karman Avenue, Suite 300  Irvine CA 92612"
264,San Diego County,2022-10-28 00:00:00,2022-11-01 00:00:00,2022-12-30 00:00:00,"Lucira Health, Inc.",Layoff Permanent,5,5857 Owens Avenue  Carlsbad CA 92008
265,San Diego County,2022-10-31 00:00:00,2022-11-01 00:00:00,2023-01-14 00:00:00,"Legoland California, LLC dba Legoland California Resort",Layoff Permanent,558,One Legoland Drive  Carlsbad CA 92008
266,San Francisco County,2022-10-31 00:00:00,2022-11-01 00:00:00,2022-12-31 00:00:00,Chinese Community Health Care Association,Layoff Permanent,68,827 Pacific Avenue  San Francisco CA 94133
267,Santa Clara County,2022-10-28 00:00:00,2022-11-01 00:00:00,2022-12-30 00:00:00,"Lucira Health, Inc.",Layoff Permanent,5,45941 Optical Ct.  San Jose CA 95138
268,Los Angeles County,2022-10-27 00:00:00,2022-11-01 00:00:00,2022-12-30 00:00:00,"Great America Trans, Inc.",Closure Permanent,9,22310 Bonita Street  Carson CA 90745
269,Madera County,2022-11-01 00:00:00,2022-11-02 00:00:00,2023-01-14 00:00:00,Pak &lsquo;N Save Foods,Closure Permanent,80,2237 W. Cleveland Ave.  Madera CA 93637
270,San Francisco County,2022-11-02 00:00:00,2022-11-02 00:00:00,2023-01-31 00:00:00,"American Airlines, Inc.",Closure Permanent,417,806 S Airport Blvd  San Francisco CA 94128
271,Orange County,2022-10-28 00:00:00,2022-11-02 00:00:00,2022-12-30 00:00:00,First Financial Credit Union,Closure Permanent,3,1001 E. Imperial Hwy Suite A  Brea CA 92821
272,San Diego County,2022-10-28 00:00:00,2022-11-02 00:00:00,2022-12-30 00:00:00,First Financial Credit Union,Closure Permanent,2,5570 Lake Murray Blvd  La Mesa CA 91942
273,San Francisco County,2022-11-01 00:00:00,2022-11-02 00:00:00,2022-12-31 00:00:00,"StubHub, Inc.",Closure Permanent,9,"360 Third Street, Suite 400  San Francisco CA 94107"
274,Los Angeles County,2022-10-28 00:00:00,2022-11-02 00:00:00,2022-12-30 00:00:00,First Financial Credit Union,Closure Permanent,2,"21207 Hawthorne Blvd, Unit 107-41  Torrance CA 90503"
275,Alameda County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,"DZConneX, a subsidiary of Yoh for Curative at Berkeley Adult School",Layoff Permanent,5,1701 San Pablo Avenue  Berkeley CA 94702
276,Imperial County,2022-10-28 00:00:00,2022-11-03 00:00:00,2022-10-28 00:00:00,"Viridos, Inc.",Layoff Permanent,36,250 W. Schrimpf Rd.  Calipatria CA 92233
277,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Dodger Stadium Drive Thru,Layoff Permanent,4,1491 Stadium Way  Los Angeles CA 90012
278,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Eagle Rock Library,Layoff Permanent,2,5027 Caspar Avenue  Los Angeles CA 90041
279,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Eagle Rock Recreation Center,Layoff Permanent,1,1141 Eagle Vista Drive  Los Angeles CA 90041
280,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Hansen Dam Drive-Thru,Layoff Permanent,2,11798 Foothill Blvd.  Sylmar CA 91342
281,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Highland Park Adult Senior Citizen Center,Layoff Permanent,1,6152 N. Figueroa St.  Los Angeles CA 90042
282,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Kedren Community Health Center,Layoff Permanent,3,4211 Avalon Blvd  Los Angeles CA 90011
283,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Pico Union Project,Layoff Permanent,1,1153 Valencia St.  Los Angeles CA 90015
284,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at York Boulevard Park,Layoff Permanent,3,1268 N Avenue 50  Los Angeles CA 90042
285,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at University of the West,Layoff Permanent,1,1409 Walnut Grove Ave  Rosemead CA 91770
286,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at CA-Commissary 290,Layoff Permanent,1,290 Arrow Hwy  San Dimas CA 91773
287,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Cudahy Plaza Kiosk,Layoff Permanent,1,8017 Atlantic Ave  Cudahy CA 90201
288,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at El Monte Testing Van-El Monte Aquatics Center,Layoff Permanent,1,11001 Mildred St  El Monte CA 91731
289,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Huntington Park Kiosk-Salt Lake Park,Layoff Permanent,1,3401 E Florence Ave  Huntington Park CA 90255
290,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Montebello Plaza Kiosk,Layoff Permanent,2,2469 Via Campo  Montebello CA 90640
291,Los Angeles County,2022-10-31 00:00:00,2022-11-03 00:00:00,2022-12-31 00:00:00,DZConneX at Pacoima Center Kiosk(Food 4 Less Sign),Layoff Permanent,1,9635 Laurel Canyon Blvd  Arleta CA 91331
